"nconst","primaryName","birthYear","deathYear","primaryProfession","knownForTitles"
"nm0000006","Ingrid Bergman",1915,1982,"actress,soundtrack,producer","tt0034583,tt0036855,tt0038109,tt0038787"
"nm0000012","Bette Davis",1908,1989,"actress,soundtrack,make_up_department","tt0035140,tt0042192,tt0056687,tt0031210"
"nm0000014","Olivia de Havilland",1916,2020,"actress,soundtrack","tt0031381,tt0040806,tt0041452,tt0029843"
"nm0000021","Joan Fontaine",1917,2013,"actress,soundtrack,producer","tt0032976,tt0040536,tt0035751,tt0034248"
"nm0000030","Audrey Hepburn",1929,1993,"actress,soundtrack","tt0054698,tt0056923,tt0058385,tt0046250"
"nm0000031","Katharine Hepburn",1907,2003,"actress,soundtrack,writer","tt0082846,tt0063227,tt0043265,tt0032904"
"nm0000038","Grace Kelly",1929,1982,"actress,soundtrack","tt0046912,tt0046874,tt0048728,tt0047396"
"nm0000046","Vivien Leigh",1913,1967,"actress,soundtrack,writer","tt0034272,tt0031381,tt0044081,tt0033238"
"nm0000047","Sophia Loren",1934,NA,"actress,soundtrack","tt0058335,tt0060121,tt0054749,tt0076085"
"nm0000072","Elizabeth Taylor",1932,2011,"actress,soundtrack,producer","tt0051459,tt0056937,tt0053318,tt0061184"
"nm0000113","Sandra Bullock",1964,NA,"producer,actress,soundtrack","tt0212346,tt0111257,tt1041829,tt1454468"
"nm0000149","Jodie Foster",1962,NA,"actress,director,producer","tt0476964,tt0118884,tt0102926,tt0075314"
"nm0000166","Helen Hunt",1963,NA,"actress,producer,director","tt0103484,tt0162222,tt0119822,tt0117998"
"nm0000173","Nicole Kidman",1967,NA,"actress,producer,soundtrack","tt0276919,tt0274558,tt0203009,tt0935075"
"nm0000194","Julianne Moore",1960,NA,"actress,producer,soundtrack","tt0118749,tt0842926,tt0175880,tt0297884"
"nm0000204","Natalie Portman",1981,NA,"actress,producer,soundtrack","tt0434409,tt0376541,tt0947798,tt0110413"
"nm0000210","Julia Roberts",1967,NA,"actress,producer,soundtrack","tt0119738,tt0376541,tt0100405,tt0195685"
"nm0000215","Susan Sarandon",1946,NA,"actress,producer,soundtrack","tt0112818,tt0109446,tt0103074,tt0120686"
"nm0000234","Charlize Theron",1975,NA,"producer,actress,soundtrack","tt1735898,tt5610554,tt0340855,tt1392190"
"nm0000267","Julie Andrews",1935,NA,"actress,soundtrack,writer","tt0247638,tt0084865,tt0059742,tt0058331"
"nm0000333","Cher",1946,NA,"soundtrack,actress,composer","tt1126591,tt0089560,tt0093565,tt0100140"
"nm0000398","Sally Field",1946,NA,"actress,producer,soundtrack","tt0076729,tt0098384,tt0443272,tt0109830"
"nm0000404","Jane Fonda",1937,NA,"actress,producer,soundtrack","tt0067309,tt0369735,tt3312830,tt0062711"
"nm0000456","Holly Hunter",1958,NA,"actress,producer,soundtrack","tt0328538,tt0107822,tt0092699,tt3606756"
"nm0000473","Diane Keaton",1946,NA,"actress,producer,soundtrack","tt0075686,tt0356680,tt0337741,tt0073312"
"nm0000511","Shirley MacLaine",1934,NA,"actress,soundtrack,writer","tt0098384,tt0048750,tt0086425,tt0053604"
"nm0000531","Frances McDormand",1957,NA,"actress,producer,soundtrack","tt1748122,tt5027774,tt0181875,tt0116282"
"nm0000545","Helen Mirren",1945,NA,"actress,director,producer","tt1245526,tt0436697,tt0280707,tt0975645"
"nm0000569","Gwyneth Paltrow",1972,NA,"actress,soundtrack,producer","tt0116191,tt1300854,tt0138097,tt0120148"
"nm0000651","Sissy Spacek",1949,NA,"actress,soundtrack,art_department","tt0247425,tt0074285,tt0080549,tt1454029"
"nm0000658","Meryl Streep",1949,NA,"actress,soundtrack,producer","tt0089755,tt0458352,tt1322269,tt0084707"
"nm0000659","Barbra Streisand",1942,NA,"soundtrack,producer,actress","tt0117057,tt0075265,tt0086619,tt0062994"
"nm0000668","Emma Thompson",1959,NA,"actress,writer,soundtrack","tt0107943,tt0314331,tt0114388,tt2140373"
"nm0000701","Kate Winslet",1975,NA,"actress,soundtrack","tt0114388,tt0959337,tt0338013,tt0120338"
"nm0000702","Reese Witherspoon",1976,NA,"producer,actress,soundtrack","tt0126886,tt0250494,tt2305051,tt0358273"
"nm0000843","Anne Bancroft",1931,2005,"actress,soundtrack,director","tt0076843,tt0061722,tt0119223,tt0056241"
"nm0000870","Kathy Bates",1948,NA,"actress,director,soundtrack","tt0120338,tt0109642,tt0257360,tt0100157"
"nm0000932","Halle Berry",1966,NA,"actress,producer,executive","tt0285742,tt0327554,tt0348836,tt0246460"
"nm0000949","Cate Blanchett",1969,NA,"actress,producer,writer","tt2402927,tt0127536,tt2334873,tt0338751"
"nm0000995","Ellen Burstyn",1932,NA,"actress,producer,soundtrack","tt0070047,tt0071115,tt11161474,tt0180093"
"nm0001046","Julie Christie",1940,NA,"actress,soundtrack","tt0060390,tt0059113,tt0069995,tt0491747"
"nm0001055","Claudette Colbert",1903,1996,"actress,soundtrack","tt0036367,tt0037280,tt0025316,tt0029929"
"nm0001076","Joan Crawford",1905,1977,"actress,soundtrack,writer","tt0042376,tt0037913,tt0056687,tt0046446"
"nm0001159","Faye Dunaway",1941,NA,"actress,producer,director","tt0061418,tt0074958,tt0082766,tt0071315"
"nm0001221","Louise Fletcher",1934,2022,"actress","tt0114857,tt0139134,tt0073486,tt0093036"
